placename,year_week,common_name,n_detections,sampling_days
BCAM1,2024-34,American Badger,1,7
BCAM1,2024-34,Bobcat,0,7
BCAM1,2024-34,Coyote,0,7
BCAM1,2024-34,Domestic Cattle,0,7
BCAM1,2024-34,Domestic Dog,0,7
BCAM1,2024-34,Human,2,7
BCAM1,2024-34,Human-Camera Trapper,0,7
BCAM1,2024-34,Mule Deer,2,7
BCAM1,2024-34,North American River Otter,0,7
BCAM1,2024-34,Northern Elephant Seal,0,7
BCAM1,2024-34,Northern Raccoon,0,7
BCAM1,2024-34,Striped Skunk,0,7
BCAM1,2024-34,Brush Rabbit,0,7
BCAM1,2024-34,Californian Sea Lion,0,7
BCAM1,2024-34,Elk,0,7
BCAM1,2024-34,Black-tailed Jackrabbit,0,7
BCAM1,2024-34,Human-Pedestrian,0,7
BCAM1,2023-39,American Badger,0,7
BCAM1,2023-39,Bobcat,1,7
BCAM1,2023-39,Coyote,0,7
BCAM1,2023-39,Domestic Cattle,0,7
BCAM1,2023-39,Domestic Dog,0,7
BCAM1,2023-39,Human,6,7
BCAM1,2023-39,Human-Camera Trapper,2,7
BCAM1,2023-39,Mule Deer,5,7
BCAM1,2023-39,North American River Otter,0,7
BCAM1,2023-39,Northern Elephant Seal,0,7
BCAM1,2023-39,Northern Raccoon,0,7
BCAM1,2023-39,Striped Skunk,0,7
BCAM1,2023-39,Brush Rabbit,0,7
BCAM1,2023-39,Californian Sea Lion,0,7
BCAM1,2023-39,Elk,0,7
BCAM1,2023-39,Black-tailed Jackrabbit,0,7
BCAM1,2023-39,Human-Pedestrian,0,7
BCAM1,2023-40,American Badger,0,7
BCAM1,2023-40,Bobcat,1,7
BCAM1,2023-40,Coyote,2,7
BCAM1,2023-40,Domestic Cattle,0,7
BCAM1,2023-40,Domestic Dog,0,7
BCAM1,2023-40,Human,2,7
BCAM1,2023-40,Human-Camera Trapper,0,7
BCAM1,2023-40,Mule Deer,0,7
BCAM1,2023-40,North American River Otter,0,7
BCAM1,2023-40,Northern Elephant Seal,0,7
BCAM1,2023-40,Northern Raccoon,0,7
BCAM1,2023-40,Striped Skunk,0,7
BCAM1,2023-40,Brush Rabbit,0,7
BCAM1,2023-40,Californian Sea Lion,0,7
BCAM1,2023-40,Elk,0,7
BCAM1,2023-40,Black-tailed Jackrabbit,0,7
BCAM1,2023-40,Human-Pedestrian,0,7
BCAM1,2023-41,American Badger,0,7
BCAM1,2023-41,Bobcat,1,7
BCAM1,2023-41,Coyote,0,7
BCAM1,2023-41,Domestic Cattle,0,7
BCAM1,2023-41,Domestic Dog,0,7
BCAM1,2023-41,Human,0,7
BCAM1,2023-41,Human-Camera Trapper,0,7
BCAM1,2023-41,Mule Deer,1,7
BCAM1,2023-41,North American River Otter,0,7
BCAM1,2023-41,Northern Elephant Seal,0,7
BCAM1,2023-41,Northern Raccoon,1,7
BCAM1,2023-41,Striped Skunk,0,7
BCAM1,2023-41,Brush Rabbit,0,7
BCAM1,2023-41,Californian Sea Lion,0,7
BCAM1,2023-41,Elk,0,7
BCAM1,2023-41,Black-tailed Jackrabbit,0,7
BCAM1,2023-41,Human-Pedestrian,0,7
BCAM1,2023-42,American Badger,0,7
BCAM1,2023-42,Bobcat,1,7
BCAM1,2023-42,Coyote,0,7
BCAM1,2023-42,Domestic Cattle,0,7
BCAM1,2023-42,Domestic Dog,0,7
BCAM1,2023-42,Human,7,7
BCAM1,2023-42,Human-Camera Trapper,0,7
BCAM1,2023-42,Mule Deer,4,7
BCAM1,2023-42,North American River Otter,0,7
BCAM1,2023-42,Northern Elephant Seal,0,7
BCAM1,2023-42,Northern Raccoon,2,7
BCAM1,2023-42,Striped Skunk,0,7
BCAM1,2023-42,Brush Rabbit,0,7
